version,msg_type,device_id,seq_num,timestamp_sent,flags,checksum,temp_C,humidity_%,arrival_time
1,0,1,0,1766639920,0,29133,,,1766639920.6738791
1,1,1,1,1766639921,2,27707,20.3,45.3,1766639921.1748476
1,1,1,2,1766639922,0,27198,20.5,45.0,1766639922.1759713
1,1,1,3,1766639923,0,26684,20.5,45.2,1766639923.1763914
1,1,1,4,1766639924,0,26170,20.6,45.3,1766639924.1765673
1,1,1,5,1766639925,0,25660,20.3,45.4,1766639925.1772823
1,1,1,6,1766639926,0,25151,20.0,45.4,1766639926.177412
1,2,1,0,1766639926,0,27085,,,1766639926.177432
1,1,1,7,1766639927,0,24637,20.2,45.4,1766639927.177747
1,1,1,8,1766639928,0,24126,20.0,45.5,1766639928.177809
1,1,1,9,1766639929,0,23616,20.0,45.3,1766639929.178096
1,1,1,10,1766639930,0,23106,19.8,45.3,1766639930.1784465
1,1,1,11,1766639931,0,22594,19.9,45.2,1766639931.1788263
1,2,1,0,1766639931,0,25805,,,1766639931.1788895
1,1,1,12,1766639932,0,22081,19.7,45.5,1766639932.1791844
1,1,1,13,1766639933,0,21566,19.8,45.7,1766639933.1793995
1,1,1,14,1766639934,0,21053,19.7,45.9,1766639934.1800344
1,1,1,15,1766639935,0,20543,19.7,45.7,1766639935.180597
1,1,1,16,1766639936,0,20036,19.5,45.4,1766639936.1813197
1,2,1,0,1766639936,0,24525,,,1766639936.1814067
1,1,1,17,1766639937,0,19529,19.2,45.2,1766639937.1823359
1,1,1,18,1766639938,0,19018,19.4,44.9,1766639938.1822705
1,1,1,19,1766639939,0,18501,19.7,45.1,1766639939.1829197
1,1,1,20,1766639940,0,17986,19.8,45.3,1766639940.183498
1,1,1,21,1766639941,0,17476,19.8,45.1,1766639941.183851
1,2,1,0,1766639941,0,23245,,,1766639941.1841044
1,1,1,22,1766639942,0,16961,20.1,45.1,1766639942.9300733
1,1,1,24,1766639944,0,15938,19.9,45.2,1766639944.9310825
1,1,1,25,1766639945,0,15425,20.2,45.0,1766639945.931902
1,1,1,26,1766639946,0,14916,19.9,45.0,1766639946.9327376
1,2,1,0,1766639946,0,21965,,,1766639946.93289
1,1,1,27,1766639947,0,14406,19.6,45.1,1766639947.933393
1,1,1,28,1766639948,0,13890,19.7,45.4,1766639948.9338677
1,1,1,29,1766639949,0,13373,19.9,45.7,1766639949.9348695
1,1,1,30,1766639950,2,12853,20.2,46.0,1766639950.9350138
1,1,1,31,1766639951,0,12346,20.0,45.9,1766639951.9366481
1,2,1,0,1766639951,0,20685,,,1766639951.9368167
1,1,1,32,1766639952,0,11837,19.8,45.8,1766639952.9371932
1,1,1,33,1766639953,0,11325,20.0,45.6,1766639953.937642
1,1,1,34,1766639954,0,10811,19.9,45.9,1766639954.9382176
1,1,1,35,1766639955,0,10302,19.8,45.7,1766639955.938813
1,1,1,36,1766639956,0,9791,19.5,45.9,1766639956.9390562
1,2,1,0,1766639956,0,19405,,,1766639956.9394703
1,1,1,37,1766639957,0,9282,19.2,45.9,1766639957.9398315
1,1,1,38,1766639958,0,8771,19.1,45.9,1766639958.9401894
1,1,1,39,1766639959,2,8251,19.4,46.2,1766639959.940482
1,2,1,0,1766639963,0,17613,,,1766639963.9448218
1,1,1,40,1766639964,0,6715,19.7,46.1,1766639964.9452524
1,1,1,41,1766639965,0,6203,19.8,46.0,1766639965.9456484
1,1,1,42,1766639966,0,5694,19.6,45.9,1766639966.9460618
1,1,1,43,1766639967,0,5183,19.8,45.6,1766639967.9465938
1,1,1,44,1766639968,0,4676,19.6,45.3,1766639968.9469233
1,2,1,0,1766639968,0,16333,,,1766639968.9469433
1,1,1,45,1766639969,0,4166,19.5,45.2,1766639969.9470754
1,1,1,46,1766639970,0,3652,19.6,45.3,1766639970.9476328
1,1,1,47,1766639971,0,3140,19.7,45.2,1766639971.9481456
1,1,1,48,1766639972,0,2630,19.8,44.9,1766639972.9489899
1,1,1,49,1766639973,0,2116,19.7,45.2,1766639973.9494371
1,2,1,0,1766639973,0,15053,,,1766639973.9494848
1,1,1,50,1766639974,0,1606,19.4,45.3,1766639974.949948
1,1,1,51,1766639976,0,838,19.3,45.4,1766639976.6971633
1,1,1,52,1766639977,0,328,19.4,45.1,1766639977.6974082
1,1,1,53,1766639978,0,65349,19.4,45.3,1766639978.6982
1,1,1,54,1766639979,0,64838,19.1,45.5,1766639979.6984608
1,1,1,55,1766639980,0,64329,18.9,45.4,1766639980.6989954
1,1,1,56,1766639981,0,63818,18.8,45.4,1766639981.6996012
